iter	Passed	Remaining
586	59067	442953
587	59171	442877
588	59272	442785
589	59390	442809
590	59510	442853
591	59632	442912
592	59731	442801
593	59837	442733
594	59950	442725
595	60041	442554
596	60152	442528
597	60262	442492
598	60352	442318
599	60458	442251
600	60569	442227
601	60672	442146
602	60758	441934
603	60859	441834
604	60966	441777
605	61067	441681
606	61160	441521
607	61256	441387
608	61341	441176
609	61458	441191
610	61552	441045
611	61671	441069
612	61755	440851
613	61860	440782
614	61976	440788
615	62085	440748
616	62184	440636
617	62293	440592
618	62392	440475
619	62501	440432
620	62604	440348
621	62711	440289
622	62796	440077
623	62904	440025
624	62994	439852
625	63103	439810
626	63204	439710
627	63305	439607
628	63439	439736
629	63552	439722
630	63671	439748
631	63763	439586
632	63866	439500
633	63951	439290
634	64041	439114
635	64162	439152
636	64272	439110
637	64351	438859
638	64456	438791
639	64559	438704
640	64673	438691
641	64767	438542
642	64873	438473
643	64988	438471
644	65095	438407
645	65201	438346
646	65293	438180
647	65386	438028
648	65484	437910
649	65600	437907
650	65703	437824
651	65820	437828
652	65914	437681
653	66009	437539
654	66097	437351
655	66182	437149
656	66301	437165
657	66426	437226
658	66539	437203
659	66653	437188
660	66744	437020
661	66846	436927
662	66959	436901
663	67052	436752
664	67146	436605
665	67247	436503
666	67357	436461
667	67448	436297
668	67547	436178
669	67638	436014
670	67729	435853
671	67820	435685
672	67927	435621
673	68027	435515
674	68146	435533
675	68253	435469
676	68354	435371
677	68449	435230
678	68545	435094
679	68650	435025
680	68762	434991
681	68842	434756
682	68924	434539
683	69004	434304
684	69108	434222
685	69221	434200
686	69329	434139
687	69433	434061
688	69546	434034
689	69651	433956
690	69751	433851
691	69853	433758
692	69933	433525
693	70048	433515
694	70135	433324
695	70236	433226
696	70358	433257
697	70464	433187
698	70564	433076
699	70693	433150
700	70790	433024
701	70909	433035
702	71006	432910
703	71119	432876
704	71226	432817
705	71335	432761
706	71440	432681
707	71569	432750
708	71682	432723
709	71785	432631
710	71891	432560
711	71999	432502
712	72128	432571
713	72231	432479
714	72328	432350
715	72413	432157
716	72514	432049
717	72621	431986
